arm,split,n,auroc,auroc_ci_low,auroc_ci_high,nll,nll_ci_low,nll_ci_high
raw_ast,standard,11119,0.7084485646748234,0.6980113700102832,0.7186521309766918,0.603702828043934,0.5929439013766447,0.6142274801570494
raw_ast,matched,1814,0.5380070965867582,0.5120980812538379,0.564528959748187,0.8566046323849698,0.8230129917278856,0.8903096242335746
raw_ast,matched_long,4196,0.5478823174460947,0.5305814380521986,0.5654463581150828,0.8502698560339755,0.8295559284815192,0.8721060417788414
correct,standard,11119,0.6494031213794044,0.6401530776968349,0.6584095041139633,0.6276410171134323,0.6194818456871091,0.6354018833730294
correct,matched,1814,0.528830886562799,0.5054935143186561,0.551979670247866,0.795167995694313,0.7731344229466599,0.817714055157615
correct,matched_long,4196,0.5315796241551943,0.5167158926303165,0.5478734441244903,0.7944326218424447,0.7787135626734122,0.8099778347997757
within_label,standard,11119,0.6353648627805458,0.6253941356965079,0.6453498531648423,0.6284819022163733,0.6215434063466017,0.6356610662076444
within_label,matched,1814,0.522678566435989,0.5002395884063662,0.5465387867105378,0.7702815748442022,0.7507506441130841,0.7894709017028305
within_label,matched_long,4196,0.5302836874921052,0.5165742288321165,0.544658552094615,0.773027463377897,0.7611841792023966,0.7858805355550365
global,standard,11119,0.5708152962656079,0.5618932166185213,0.5801705518966656,0.6397671990028659,0.6345030289639813,0.6449964983366802
global,matched,1814,0.5100420714059094,0.4901582736272696,0.5298684734366944,0.7393374557945688,0.7248739061193349,0.7541442294041003
global,matched_long,4196,0.5243903813246262,0.5102822164207573,0.5381174175755083,0.7373839736413871,0.7281118139020336,0.7470315707186346
