dataset,backbone,status,retrieval,retrieval_low,retrieval_high,sex,sex_low,sex_high,disease,disease_low,disease_high
UKCOVID,AST-6L,discovery,0.003175314,0.001604774,0.004916758,0.191197941,0.166874134,0.215117282,0.006152320,-0.014364989,0.027908597
UKCOVID,OPERA-CT,discovery,0.003229230,0.001544795,0.004999711,0.112487002,0.094345260,0.131091629,-0.002023706,-0.019149067,0.016803290
CODA TB,AST-6L,secondary,0.066733844,0.034873890,0.102097012,0.105836163,0.058205232,0.153562226,0.034060000,-0.022122500,0.091640500
CODA TB,OPERA-CT,secondary,0.030196747,0.006430938,0.055465166,0.044609508,0.005837329,0.085183671,-0.025560000,-0.087240000,0.034561000
CODA TB,HeAR,secondary,0.064556844,0.032044634,0.101351685,0.036417657,0.014947520,0.060265460,-0.012740000,-0.091582500,0.063063500
Cambridge,AST-6L,reconstructed,0.043278451,0.015115377,0.079898450,0.131769326,0.074462464,0.192157215,-0.044800000,-0.118136000,0.030024500
Cambridge,OPERA-CT,reconstructed,0.029802504,-0.001058954,0.063761781,0.123336089,0.071610604,0.173958115,0.007720000,-0.086884000,0.113163000
Cambridge,HeAR,reconstructed,0.045703763,0.020321890,0.076284910,0.128172799,0.089322456,0.170315406,-0.051240000,-0.118610500,0.016125000
Coswara,AST-6L,post-hoc,0.018327138,0.002782424,0.036459373,0.132411859,0.051107005,0.224562470,0.002820000,-0.044960255,0.046384399
Coswara,OPERA-CT,post-hoc,0.024266088,0.004971614,0.045213983,0.107451923,0.046859691,0.169875219,-0.011520000,-0.074973259,0.044404798
Coswara,HeAR,post-hoc,0.040643018,0.022624396,0.061866622,0.056991186,0.018916984,0.098961644,0.003680000,-0.064631821,0.072364019
