participant_identifier,duration_s,rms,peak,clip_frac,near_silence_frac,zero_frac,size_bytes,sample_rate,log_rms,crest_factor
P0007727,2.048,1007.6567767893839,15390.0,0.0,0.5762125651041666,0.06932576497395833,196652.0,48000.0,6.916374800730654,15.273057606996552
P0007728,1.6213333333333333,1947.4780865723185,31614.0,0.0,0.6450709292763158,0.16199372944078946,155692.0,48000.0,7.5748038784092975,16.23330204224601
P0007730,3.072,2441.2267586963767,32768.0,7.459852430555556e-05,0.7296346028645834,0.17854139539930555,294956.0,48000.0,7.800665508138657,13.422759636423452
P0007731,3.6693333333333333,1471.3077218232559,31049.0,0.0,0.8568541061046512,0.799327761627907,352300.0,48000.0,7.294586327592552,21.102995341792088
P0007732,3.584,748.3253413023739,19146.0,0.0,0.6048990885416666,0.02796572730654762,344108.0,48000.0,6.619173256766852,25.585128477211544
P0007733,8.96,2398.559427597276,32768.0,1.1625744047619047e-05,0.6204008556547619,0.05319940476190476,860204.0,48000.0,7.783040427650198,13.661533511725924
P0007734,5.205333333333333,2864.566260450551,32768.0,0.00021612448770491803,0.5943943711577869,0.11885245901639344,499756.0,48000.0,7.960521257245841,11.439079085862957
P0007735,5.034666666666666,3652.5314140952837,32768.0,0.0023710606461864406,0.528854111493644,0.0533054157838983,483372.0,48000.0,8.203449489550755,8.971312299611672
P0007737,4.778666666666667,3120.2746726065543,30355.0,0.0,0.7870134626116071,0.6902901785714286,458796.0,48000.0,8.045996746282501,9.728310224251157
P0007739,7.509333333333333,479.0947290949647,10409.0,0.0,0.6488508744673296,0.09650490500710228,720940.0,48000.0,6.173983436711714,21.726392230700235
P0007740,5.205333333333333,1865.0434020744863,32449.0,0.0,0.7984959336577869,0.5856653432377049,499756.0,48000.0,7.53157564055506,17.39852271742824
P0007742,3.6693333333333333,1419.7646991256856,27837.0,0.0,0.8306061500726745,0.39442905159883723,352300.0,48000.0,7.258950526156219,19.606770063463948
P0007744,3.1573333333333333,619.609089785526,11158.0,0.0,0.8822780299831081,0.8520573796452703,303148.0,48000.0,6.43070139867712,18.008128324657516
P0007745,3.1579138321995464,3077.0541090682573,32767.0,7.180606617647059e-06,0.5885799632352942,0.18592026654411764,278572.0,44100.0,8.032052893538742,10.648821515170336
P0007748,5.973333333333334,1039.465151635611,20794.0,0.0,0.8166922433035714,0.5508963448660714,573484.0,48000.0,6.947423153332035,20.004518638513648
P0007749,2.2186666666666666,2406.7074077323296,32767.0,2.8170072115384617e-05,0.6763070913461539,0.09718674879807693,213036.0,48000.0,7.786430290629159,13.614866474716349
P0007750,1.4506666666666668,4230.128010264713,32768.0,0.0027573529411764708,0.3343290441176471,0.033978630514705885,139308.0,48000.0,8.350223905583753,7.746337680674985
P0007752,3.584,247.7025158170096,4991.0,0.0,0.44946870349702384,0.021089099702380952,344108.0,48000.0,5.516257466628759,20.14916959368695
P0007753,5.290666666666667,1724.9418979470463,26028.0,0.0,0.8542126071068549,0.10948525705645161,507948.0,48000.0,7.453528208241916,15.089203892004912
P0007755,5.12,3403.171205591852,32768.0,0.0015340169270833333,0.36622721354166665,0.03907470703125,491564.0,48000.0,8.132756783843256,9.628666329260279
P0007756,5.632,4132.430195481025,32768.0,0.0005289713541666666,0.3961440577651515,0.07787346117424243,540716.0,48000.0,8.326862897041009,7.929474534337001
P0007757,2.2186666666666666,1152.007293584346,15545.0,0.0,0.748291015625,0.6172532301682693,213036.0,48000.0,7.050128845994364,13.493838178419793
P0007758,4.266666666666667,1759.0686455926689,32768.0,9.765625e-06,0.805703125,0.066728515625,409644.0,48000.0,7.473108090449246,18.62803937872539
P0007759,1.7066666666666668,3773.1780297857676,32768.0,3.662109375e-05,0.37279052734375,0.0360107421875,163884.0,48000.0,8.23593789752013,8.684456376380366
P0007760,2.6006349206349206,735.3241941466018,9340.0,0.0,0.62481689453125,0.22891671316964285,229420.0,44100.0,6.601670502922969,12.701880441764954
P0007761,3.328,3486.1063663329423,27743.0,0.0,0.7055351061698718,0.6161921574519231,319532.0,48000.0,8.156827549890648,7.958162225891885
P0007763,4.181333333333333,1784.5907527009429,28183.0,0.0,0.893798828125,0.8614925462372449,401452.0,48000.0,7.487504593354665,15.792416248559954
P0007764,2.9013333333333335,2100.4867259888274,32768.0,7.180606617647059e-06,0.5538760914522058,0.10515280330882353,278572.0,48000.0,7.650400337979268,15.600193800110068
P0007765,4.437333333333333,753.3249289330988,11772.0,0.0,0.7813532902644231,0.7393282376802884,426028.0,48000.0,6.625823215409457,15.626723008697645
P0007766,3.925333333333333,2907.5380880044813,29020.0,0.0,0.6160092561141305,0.36527152683423914,376876.0,48000.0,7.975405858676618,9.980952655346709
P0007767,3.436553287981859,3365.351958949315,32768.0,3.299197635135135e-05,0.5188120249155406,0.18332321579391891,303148.0,44100.0,8.121584932252135,9.736871625819681
P0007768,2.048,1678.841203627513,25824.0,0.0,0.8613484700520834,0.2557271321614583,196652.0,48000.0,7.426454546279562,15.382038482368715
P0007770,2.816,3879.4689546378404,32768.0,0.002870501893939394,0.36181640625,0.022068832859848484,270380.0,48000.0,8.263711289911164,8.446516877217938
P0007771,6.656,2780.3420544681867,30942.0,0.0,0.6088585486778846,0.5661652393830128,639020.0,48000.0,7.930688843602568,11.128846520975038
P0007772,2.6453333333333333,3165.5456111362796,32768.0,0.0026225428427419355,0.3190051663306452,0.020799206149193547,253996.0,48000.0,8.060396560127584,10.351454069943886
P0007773,3.7546666666666666,4888.496504310301,32768.0,1.6645951704545453e-05,0.4027987393465909,0.13914905894886365,360492.0,48000.0,8.494844612814003,6.703083447252338
P0007775,2.048,2908.358713517667,32767.0,1.0172526041666666e-05,0.5705973307291666,0.026753743489583332,196652.0,48000.0,7.975687962518134,11.266491938457262
P0007776,2.9013333333333335,3796.1095654565042,32768.0,3.5903033088235295e-05,0.4690731272977941,0.28015854779411764,278572.0,48000.0,8.241995415611242,8.63199531914744
P0007777,2.9013333333333335,3359.6368230273943,32766.0,0.0,0.7116627412683824,0.39957203584558826,278572.0,48000.0,8.119885765661499,9.752839882992042
P0007778,4.352,2477.587913322281,31603.0,0.0,0.7094439338235294,0.45479568780637253,417836.0,48000.0,7.8154442872056995,12.7555514095198
P0007782,3.584,1628.5640657505473,27511.0,0.0,0.8063848586309523,0.3115350632440476,344108.0,48000.0,7.396067813706379,16.89279567107743
P0007783,2.2186666666666666,3835.127081053528,32768.0,0.005211463341346154,0.8084622896634616,0.2955979567307692,213036.0,48000.0,8.252218563987837,8.544175801076696
P0007785,3.498666666666667,1044.8745745990202,32766.0,0.0,0.8599883288871951,0.26449361661585363,335916.0,48000.0,6.952608727873976,31.358787740186788
P0007787,4.437333333333333,2664.802981272224,32497.0,0.0,0.7809682992788461,0.6013700045072116,426028.0,48000.0,7.888260597509837,12.194897794835535
P0007788,3.1579138321995464,3794.6936121946064,32767.0,7.180606617647059e-06,0.47957835477941174,0.01960305606617647,278572.0,44100.0,8.24162244314108,8.634952738922456
P0007789,2.1333333333333333,51.99490190604027,993.0,0.0,0.89283203125,0.289306640625,204844.0,48000.0,3.970195718473453,19.09802622140431
P0007790,4.693333333333333,316.6491437294745,5549.0,0.0,0.7570623224431818,0.1478338068181818,450604.0,48000.0,5.760947452067399,17.52412760264149
P0007791,4.096,158.13976489706573,2219.0,0.0,0.6143900553385416,0.0256500244140625,393260.0,48000.0,5.069782840614288,14.031891355285186
P0007793,4.010666666666666,1773.6517972883007,28137.0,0.0,0.6723269198803191,0.033987491688829786,385068.0,48000.0,7.481359512123756,15.863880409335254
P0007794,5.632,4202.2651789467745,32768.0,0.0023415305397727275,0.42277388139204547,0.11392489346590909,540716.0,48000.0,8.343616925793052,7.7976992418657725
P0007795,10.154666666666667,1273.8818589985995,30998.0,0.0,0.7568174730829832,0.1142906381302521,974892.0,48000.0,7.150608793690418,24.33349669045703
P0007796,3.84,3856.487898531958,32768.0,1.0850694444444445e-05,0.6699381510416667,0.25443250868055556,368684.0,48000.0,8.25777144710523,8.496850207274147
P0007797,3.2426666666666666,3993.195559806706,32768.0,0.002968236019736842,0.23869243421052633,0.01801500822368421,311340.0,48000.0,8.292597476173864,8.205959239716764
P0007800,3.4133333333333336,1788.1343937931827,29271.0,0.0,0.84033203125,0.808782958984375,327724.0,48000.0,7.489487202986332,16.36957496124821
P0007801,2.7306666666666666,2534.5238348283588,28864.0,0.0,0.6952285766601562,0.6470870971679688,262188.0,48000.0,7.838155535635914,11.388332436788199
P0007803,3.072,3603.5620459446013,30169.0,0.0,0.5725640190972222,0.4970703125,294956.0,48000.0,8.18995555716426,8.37199404792916
P0007804,5.201269841269841,1715.7060763586815,30700.0,0.0,0.5315508161272321,0.07423182896205358,458796.0,44100.0,7.448162661828307,17.893507765116777
P0007805,3.072,3739.6450805965924,32043.0,0.0,0.71124267578125,0.6057467990451388,294956.0,48000.0,8.227013356978302,8.56846019058032
P0007806,9.009342403628118,745.7699609726252,32768.0,8.80919780927835e-05,0.9204177069909794,0.12070111146907217,794668.0,44100.0,6.615757187201137,43.93848199144464
P0007808,3.6693333333333333,2146.9465382297412,32767.0,1.1355377906976744e-05,0.8821765988372093,0.8417287427325582,352300.0,48000.0,7.672267566226718,15.262140633926858
P0007809,3.1573333333333333,2036.5972345199473,32768.0,0.0003299197635135135,0.8362212309966216,0.13739838471283783,303148.0,48000.0,7.619526566440115,16.089582880980274
P0007810,2.474666666666667,376.9417138928526,7265.0,0.0,0.9158893453663793,0.8934452451508621,237612.0,48000.0,5.9347399876794995,19.273536815418197
P0007812,2.6453333333333333,1971.1017237482235,27075.0,0.0,0.6460590977822581,0.27927324848790325,253996.0,48000.0,7.586855117882993,13.735972970740834
P0007813,5.034666666666666,1134.6102142660434,25100.0,0.0,0.6158798993644068,0.06878144862288135,483372.0,48000.0,7.0349254191568535,22.122134707040836
P0007814,2.2186666666666666,1914.4877865806748,32767.0,1.8780048076923078e-05,0.6405310997596154,0.3633563701923077,213036.0,48000.0,7.5577275880204935,17.11528286033394
P0007815,3.7546666666666666,3617.8297838304875,32768.0,0.002596768465909091,0.3053255948153409,0.020296963778409092,360492.0,48000.0,8.193905988423479,9.05736365664413
P0007816,4.778666666666667,1969.7659268412358,32768.0,7.411411830357142e-05,0.72186279296875,0.2517177036830357,458796.0,48000.0,7.586177541521588,16.635479146768937
P0007818,2.507755102040816,219.48088221294668,5237.0,0.0,0.8179524739583334,0.07102683738425926,221228.0,44100.0,5.395810989145965,23.86084813936118
P0007819,4.010666666666666,2609.790254419309,29162.0,0.0,0.8091495595079787,0.5629207529920213,385068.0,48000.0,7.867408233959285,11.17407805114113
P0007823,3.1573333333333333,490.89281559261326,7790.0,0.0,0.565647434543919,0.04198558910472973,303148.0,48000.0,6.198260838272014,15.869044631626814
P0007824,5.632,3182.662933673048,32767.0,1.1097301136363637e-05,0.6839932528409091,0.5296260949337122,540716.0,48000.0,8.065787678820568,10.295466621146073
P0007825,4.096,1025.5179212254448,32768.0,1.0172526041666666e-05,0.6123758951822916,0.5349985758463541,393260.0,48000.0,6.933927694879842,31.95263517268607
P0007826,3.1573333333333333,1846.5765097436658,30228.0,0.0,0.7530814505912162,0.23216453758445946,303148.0,48000.0,7.521630064546025,16.369752263435732
P0007827,3.072,2682.1500905635903,32406.0,0.0,0.7311469184027778,0.5469292534722222,294956.0,48000.0,7.894746790181723,12.082097908688834
P0007828,4.437333333333333,1034.8364423821567,27087.0,0.0,0.9113065279447116,0.8677696814903846,426028.0,48000.0,6.942964536207496,26.175150865020285
P0007831,3.498666666666667,795.964551014523,10909.0,0.0,0.6895424447408537,0.08537180830792683,335916.0,48000.0,6.680810199776601,13.705384223558534
P0007832,2.7306666666666666,1918.0220708422455,28205.0,0.0,0.7634735107421875,0.7290115356445312,262188.0,48000.0,7.559570997162116,14.705253098364953
P0007833,3.498666666666667,1962.1898580678126,30303.0,0.0,0.6885420636432927,0.3815501143292683,335916.0,48000.0,7.582325907922425,15.443459701613286
P0007838,4.693333333333333,2068.8350150261094,32768.0,8.877840909090909e-06,0.7135387073863636,0.24280894886363635,450604.0,48000.0,7.635224180197033,15.838865720073196
P0007839,3.1573333333333333,1851.7274659127704,30585.0,0.0,0.757350612331081,0.2255661423141892,303148.0,48000.0,7.524414138249217,16.517009421204026
P0007840,3.4133333333333336,2908.407710829854,27882.0,0.0,0.843609619140625,0.794305419921875,327724.0,48000.0,7.9757048036520155,9.586688928160923
P0007841,2.9013333333333335,2227.2116498690175,25971.0,0.0,0.7726189108455882,0.7113324333639706,278572.0,48000.0,7.708954591988273,11.660768747108383
P0007845,7.765333333333333,2301.2550823571764,32768.0,0.0015882554945054945,0.6492557735233516,0.061987572973901096,745516.0,48000.0,7.741644392159981,14.239186368866804
P0007846,2.972154195011338,2180.408758854633,30520.0,0.0,0.8504791259765625,0.21410369873046875,262188.0,44100.0,7.68772616673121,13.997375435245514
P0007847,4.829750566893424,2560.6514404999098,32768.0,0.00067138671875,0.43053260216346156,0.09713040865384616,426028.0,44100.0,7.848407423435227,12.796743626141474
P0007848,4.864,3706.8093079416303,32768.0,4.2831688596491226e-05,0.5211631373355263,0.05425918311403509,466988.0,48000.0,8.218196498163115,8.83994758775089
P0007850,4.551111111111111,981.5441452527941,23161.0,0.0,0.7888831313775511,0.21741968271683673,401452.0,44100.0,6.890145274289031,23.596493455738916
P0007851,2.3893333333333335,2725.8324210348155,30997.0,0.0,0.4989100864955357,0.050258091517857144,229420.0,48000.0,7.910895929191607,11.371572133631439
P0007852,2.56,3022.396164882819,30508.0,0.0,0.8205322265625,0.6996826171875,245804.0,48000.0,8.01413603643554,10.093977869103314
P0007853,3.6693333333333333,4984.438689332561,32768.0,0.014920966569767442,0.7134243277616279,0.3917605377906977,352300.0,48000.0,8.51427668039613,6.574060198618113
P0007854,5.376,2621.7473281926905,32768.0,3.875248015873016e-06,0.6946304563492064,0.07899305555555555,516140.0,48000.0,7.8719776459065445,12.498534716759384
P0007855,2.986666666666667,4430.120077010161,32768.0,0.009584263392857144,0.7732491629464285,0.064697265625,286764.0,48000.0,8.396407670134987,7.396639240105509
P0007856,2.816,5480.746260894135,32768.0,0.00010357481060606061,0.3140240293560606,0.026455965909090908,270380.0,48000.0,8.609178989927614,5.978747863917388
P0007857,3.6693333333333333,2700.1914467945644,32768.0,0.002197265625,0.6835312954215116,0.1038619640261628,352300.0,48000.0,7.901448231249118,12.135435818407329
P0007858,2.56,3258.711327816871,32768.0,8.138020833333333e-06,0.6233561197916667,0.1419921875,245804.0,48000.0,8.089393920690567,10.055508666962046
P0007859,6.485333333333333,1772.6538380178754,32111.0,0.0,0.8551924856085527,0.26399953741776316,622636.0,48000.0,7.4807970130612125,18.11464782988165
P0007860,7.765333333333333,2331.220239185377,29887.0,0.0,0.7679403116414835,0.6946310525412088,745516.0,48000.0,7.75457598520027,12.820324522590328
P0007861,5.376,3711.473844897349,32768.0,5.425347222222222e-05,0.5059058779761905,0.09417627728174603,516140.0,48000.0,8.219453737940643,8.828837644926866
P0007862,3.584,1472.311415124272,28375.0,0.0,0.8180687313988095,0.7825811476934523,344108.0,48000.0,7.2952678096804915,19.272417308253843
P0007863,5.802666666666667,3762.18762632571,32462.0,0.0,0.6880816291360294,0.19325166590073528,557100.0,48000.0,8.233021650186386,8.628490448706023
P0007864,7.765333333333333,1866.3755608250467,32767.0,5.365728021978022e-06,0.5569196428571429,0.05135806576236264,745516.0,48000.0,7.5322892806904616,17.556487926522955
P0007865,5.973333333333334,5262.24908068453,30158.0,0.0,0.5287667410714286,0.2897216796875,573484.0,48000.0,8.568503810983767,5.731009600190043
P0007866,2.474666666666667,4684.7006082165735,32768.0,5.8930495689655175e-05,0.3669096848060345,0.044012661637931036,237612.0,48000.0,8.452270726334492,6.994683916944589
P0007868,0.8533333333333334,5833.547988301075,32768.0,0.0160400390625,0.7197265625,0.113037109375,81964.0,48000.0,8.671552076133253,5.617164728173861
P0007870,4.352,3224.7705205003617,32768.0,1.4361213235294117e-05,0.5951382506127451,0.07082471660539216,417836.0,48000.0,8.07892712177816,10.161343199982333
P0007871,2.6453333333333333,4115.099687039312,32768.0,0.00014963457661290323,0.2966702368951613,0.014404296875,253996.0,48000.0,8.322661316057962,7.96286906565017
P0007872,6.058666666666666,780.2853336644267,24660.0,0.0,0.7437864491637324,0.683500907790493,581676.0,48000.0,6.660940427118364,31.603823545110735
P0007873,1.8773333333333333,3811.243545858061,32768.0,0.004006125710227273,0.7934126420454546,0.2719948508522727,180268.0,48000.0,8.245973151992983,8.597718725060913
P0007874,4.778666666666667,4240.896742425381,32768.0,0.0037100655691964285,0.44536917550223215,0.05948747907366071,458796.0,48000.0,8.352765793108745,7.726667728592741
P0007875,3.584,2911.188882950801,27816.0,0.0,0.6569068545386905,0.3996988932291667,344108.0,48000.0,7.976660270863708,9.554859240804724
P0007876,4.522666666666667,2360.7720851628383,31394.0,0.0,0.6766702903891509,0.051859153891509434,434220.0,48000.0,7.767167499791227,13.298191806525553
