uuid,annotator,label,quality,duration_s,duration_tercile,cough_detected,slice
005b8518-03ba-4bf5-86d2-005541442357,2,dry,good,6.48,t1,0.9854,dev
008ba489-31ad-44d8-856b-fcf72369dc46,3,wet,good,9.78,t2,0.9962,report
008c1c9e-aeef-40c5-846c-24f1b964f884,3,wet,good,9.96,t3,0.9751,report
00bf9f83-2e8f-47cf-a4f2-97f2beceebc1,3,wet,good,2.76,t1,0.9815,dev
00ce5b06-c302-4387-bbd7-86355a4a8c12,3,dry,good,9.36,t2,0.99,report
00ddf050-6939-4f33-9e54-fcb309b895ec,3,dry,good,9.12,t2,0.9089,report
01208e5c-5338-4f1b-b8c6-41c049e40d90,1,dry,poor,9.96,t3,0.9968,dev
01567151-7bb2-45ee-9aa8-a1332b5941ea,1,dry,good,9.96,t3,0.982,dev
01567151-7bb2-45ee-9aa8-a1332b5941ea,2,dry,good,9.96,t3,0.982,dev
01567151-7bb2-45ee-9aa8-a1332b5941ea,3,wet,good,9.96,t3,0.982,dev
0177b817-0ba3-498a-bc05-48bc66cc91b8,2,dry,ok,9.9,t3,0.8047,dev
018b40a1-c109-459a-9e31-86cbd2cb3918,1,wet,ok,9.78,t2,0.9869,report
01f97898-9ec4-480b-9fcc-a9daa737106d,3,wet,good,9.84,t2,0.9834,dev
01ff40e8-63e6-4570-a463-9778ea30cad7,1,dry,poor,9.54,t2,0.9686,dev
01ff40e8-63e6-4570-a463-9778ea30cad7,2,dry,ok,9.54,t2,0.9686,dev
01ff40e8-63e6-4570-a463-9778ea30cad7,3,wet,good,9.54,t2,0.9686,dev
02df470b-ddcf-403a-b726-76be6af905e1,2,wet,poor,3.36,t1,0.8598,report
0311ee9e-b265-4767-ba51-f3fc8176747a,3,dry,good,9.96,t3,0.9889,report
031fd54a-87b5-4223-9af6-60985127fb7a,3,wet,good,5.1,t1,0.9777,report
036d875c-d39b-45f1-a17f-7f7badf0aa42,3,dry,good,9.9,t3,0.9914,report
0379c586-c500-483c-83a6-95b63afe6931,1,dry,ok,9.54,t2,0.9916,report
038592cb-c8db-4f55-8052-e20059146cb5,1,dry,ok,8.22,t1,0.9824,dev
03c33278-ad87-4a37-bf8f-3b1fdf69ecfd,1,dry,ok,6.3,t1,0.9746,report
03d30b8b-03f8-4089-bda8-0e14deec7d82,2,wet,good,9.78,t2,0.9196,dev
03fca101-9ce7-4eb9-aeae-a6f8d4ee5599,2,dry,ok,4.5,t1,0.879,report
040e6a1c-dcbe-47aa-8b9d-51abd8136d91,2,dry,ok,9.48,t2,0.9184,report
0527be95-d7f1-4156-8e37-1587355661ca,3,wet,good,9.9,t3,0.9574,report
0569d979-384b-4a30-b0ca-2b19e8c8650b,1,wet,ok,6.96,t1,0.9781,report
0593e9bf-e162-46c2-b1d5-3bc34ef1fc6f,2,dry,ok,9.78,t2,0.968,report
059ae242-fffd-44c7-b821-9d73f93449aa,3,dry,good,9.84,t2,0.949,dev
0640716b-e287-4181-a653-5b798e8308c8,3,wet,good,9.54,t2,0.9687,report
06b568b5-b9f8-4334-816c-c16009bb5de7,2,wet,good,4.68,t1,0.9888,report
06b58ff7-42e9-49d8-8b56-dd82e7b18ace,3,dry,good,9.84,t2,0.8062,report
06e9197b-9b40-4bde-bde8-9e78242a60ac,1,dry,ok,7.86,t1,0.9952,dev
0733f882-d7fd-4dc5-a1b0-8aeec64fc112,2,dry,good,5.88,t1,0.9893,dev
075cdb5a-5c29-4266-84ea-c44963bd0454,2,dry,ok,7.62,t1,0.9961,dev
076f59de-0637-4ee1-951c-f2e0784e8a53,2,dry,poor,9.84,t2,0.9884,dev
07809b76-1f10-424e-853b-cbf4756a8ba2,1,dry,ok,5.52,t1,0.991,report
07c16495-d19c-47ad-ba39-d2e24f31d6e4,3,dry,good,8.34,t1,0.9939,report
07e2f7e1-8e9b-4962-8701-fbe1224de7ef,2,dry,good,9.72,t2,0.9989,report
07e33d6b-560d-4c16-8d7e-ecd5ddb3b195,1,dry,ok,6.48,t1,0.841,dev
07f95718-2edc-4baa-9e18-3c6e04eb6e39,3,dry,good,4.44,t1,0.9954,report
08024f8a-88fb-4298-9656-04da97112ae6,3,dry,good,3.06,t1,0.9377,report
082991fb-ee66-4970-91dd-50890f4cc9b1,1,dry,ok,9.36,t2,0.9431,dev
089f764a-6620-4554-8519-ac64f833a5d5,2,dry,good,9.78,t2,0.9945,report
08d5d346-6219-4e6d-ac06-ef489f2d186c,2,dry,ok,9.72,t2,0.9933,report
0969d0c4-34ce-4e9a-8cf1-1b18403587e8,3,wet,good,4.38,t1,0.8446,report
098a2a72-f7c9-4f46-9a55-597c3119d662,3,dry,good,9.6,t2,0.8953,dev
09bffe1a-63f0-4f2e-942b-f7a152b344fc,2,dry,ok,2.64,t1,0.9939,report
09de6967-b295-4516-8a4d-4d95c9a7b02c,3,wet,good,9.36,t2,0.9869,report
09e64861-61b1-4f66-a7c0-17ac1a0c60f0,3,wet,good,9.84,t2,0.9856,report
09ef22ac-58b8-4f3b-b00a-94f926298dae,2,dry,good,5.64,t1,0.9968,report
0a03da19-eb19-4f51-9860-78ad95fa8cb5,3,wet,good,9.96,t3,0.9954,report
0b14b4fa-edf0-4595-89af-d4a69208205b,2,dry,ok,2.88,t1,0.9796,dev
0b43fe9d-c9d6-4d0d-abf9-52f6b3712325,1,dry,ok,2.76,t1,0.9668,report
0b60a771-1dde-49b8-a46d-d049b1791ca4,1,dry,ok,9.84,t2,0.9112,report
0b618a49-9562-4fa5-afb7-fce583b5a444,1,dry,ok,9.72,t2,0.9484,dev
0b6ea0b5-e036-43ca-8462-d128f6232bdf,3,wet,good,5.1,t1,0.8946,report
0b6f8543-c5e3-414c-a4f3-020e56e8ec60,2,wet,poor,7.92,t1,0.988,report
0c01c4ac-cfbf-45b9-80db-492f334aaf30,3,dry,good,9.9,t3,0.9984,report
0c35e382-31cd-42cb-bc87-8a84b9c52a41,1,dry,good,2.64,t1,0.9925,report
0c4d0b5c-1007-4426-8444-e71a1c2732f3,1,dry,ok,9.78,t2,0.9686,report
0cc0ccfb-674f-4e9b-b6f3-539478d6d08d,1,dry,ok,4.98,t1,0.9974,report
0d1cb244-e3cb-404d-97f5-99592b92da44,3,dry,good,9.9,t3,0.989,report
0dfa1560-9b26-4474-a9d9-d96c05424fbc,3,wet,good,7.26,t1,0.9422,dev
0eba0c0a-5609-4777-903d-b15292798250,1,dry,ok,9.84,t2,0.8749,report
0ebcd337-e754-4955-a935-f7b3f04ec5ff,2,dry,good,9.96,t3,0.9515,dev
0f04746a-08e0-40a2-9431-2f57f9166720,2,dry,poor,9.96,t3,0.9717,report
0f48e572-df90-4dd5-a30c-6a79f96cc50d,3,wet,good,9.78,t2,0.9843,dev
0f4b20af-c6bc-4da8-8f29-bd291bcb55e7,1,dry,ok,9.78,t2,0.989,report
0f746594-9aa2-4681-addd-bea6230b9027,1,dry,ok,9.9,t3,0.998,report
0f8d80f9-700e-4069-924d-e15f29d7c19a,2,wet,poor,3.96,t1,0.9228,report
